time	id	text	sentiment
2020-03-04 23:59:32	1235354218350829569	@gibs90 We're so glad to hear about this. Thanks for sharing!	1
2020-03-04 23:57:26	1235353693609816064	@c_zhanteL Clutch. 🔥	0
2020-03-04 23:56:29	1235353453276172288	@leprekhan369 There's always a chance.	0
2020-03-04 23:56:09	1235353366886219777	why are all the @pizzahut in the Philadelphia area closed?😡	-1
2020-03-04 23:52:09	1235352363998810113	Great example of ad placement: Marketing @hulu to customers that place carry-out orders on @pizzahut. A good chance… https://t.co/H0WVISpkZC	1
2020-03-04 23:46:40	1235350981644144640	@pizzahut Bacon??	0
2020-03-04 23:43:27	1235350170881187840	@pizzahut Deep dish	0
2020-03-04 23:39:44	1235349236214046721	@MelloDeeBeats @pizzahut Facts G lol 💯	1
2020-03-04 23:36:37	1235348451652702214	@pizzahut @Raiders Pineapple and Olive? Sweet and Salty! #raidernation #nfl #raiders	1
2020-03-04 23:34:44	1235347978585591808	@pizzahut I’ll guess it’s not taco pizza 🙄 y’all need to expand! I can only find it at one restaurant in New Haven… https://t.co/BheY7QJC6v	1
2020-03-04 23:33:11	1235347587600961538	@dinero_dolladay @pizzahut It is, I appreciate em, they responded fast too	1
2020-03-04 23:32:48	1235347491538771971	@PhxTheOne @pizzahut LOL they helped me out	1
2020-03-04 23:31:40	1235347207798362112	$5 lineup @pizzahut is a good ass deal low key. 🤗😋	1
2020-03-04 23:30:11	1235346835876851714	RT @pizzahut: The scent of the season (or every season...) 🙃🍕. https://t.co/i1JPJBcSe5	0
2020-03-04 23:30:11	1235346835058851841	@pizzahut I got 16 wings and still had to pay for sauce lmao https://t.co/gQp5uyaOzc	1
2020-03-04 23:28:37	1235346441482227713	Shout out to @pizzahut in #couva for some of the best customer service I've ever experienced. #WackyWednesday	1
2020-03-04 23:24:42	1235345455820795904	Yaar yeh @pizzahut is time call q receive nahi kar rahay	0
2020-03-04 23:24:34	1235345421758877697	@pizzahut is so cheap that they charge you for Parmesan cheese and red pepper 🤨	1
2020-03-04 23:16:32	1235343397399007235	God I Thank Ya 🙌🏽 causeeee I didn’t want to cook or buy anything but with @pizzahut rewards I got free pizza 😩🙌🏽🙌🏽	1
2020-03-04 23:16:24	1235343365044129798	@ColtonHolman This is definitely not the experience we wanted for you. Mind sending us a DM with your name, email a… https://t.co/W6FhuZZh7c	0
2020-03-04 23:15:42	1235343188354904065	@josephT12469838 Thanks for bringing this to our attention. Mind sending us a DM with more details about this? We'd like to help.	1
2020-03-04 23:15:34	1235343157505781762	@pizzahut thanks you! The hair adds flavor! 🤢 https://t.co/9IwB4GpnSC	1
2020-03-04 23:11:52	1235342225107832833	RT @StuartGreen2018: 1,818 signatures have been collected so far.  Please sign and Retweet this petition if you'd like to see @yumbrands an…	1
2020-03-04 23:05:42	1235340671772438529	@sdorrill That pizza needs some help. Mind sending us a DM with your name, email address, phone number, and the sto… https://t.co/QtxKpiV2QV	0
2020-03-04 23:04:22	1235340335745818627	@pizzahut Space pizza?	0
2020-03-04 23:02:26	1235339849542094848	#IKEA &amp; #PizzaHut Come Together on a #Swedish #Meatball Pizza https://t.co/u0FFTawlOA https://t.co/oCtMtAl4qn	0
