Time;Post_id;Tweet;Retweet count;Like count
2020-03-01 17:35:00;1234170284476895237;I WANTPIZZA;144;640
;;;;
2020-03-01 01:00:35;1233920032066936837;Spicy SweetSpicy SweetSpicy SweetSpicy SweetSpicy Sweet;36;251
;;;;
2020-02-28 20:01:07;1233482281223950338;We go together like pizza and the weekend;51;402
;;;;
2020-02-27 16:01:45;1233059654885834753;Pineapple Pan pizza perfection Say that five times fast;75;526
;;;;
2020-02-27 00:01:00;1232817875485970432;Lookin hot hot hot;49;349
;;;;
2020-02-25 22:00:37;1232425189826342912;Just because you went grocery shopping doesnt mean you cant get some Dominos delivered right;41;419
;;;;
2020-02-24 20:00:24;1232032548177444864;Have you seen anything more beautiful than this Stuffed Cheesy Bread We think not;76;704
