time;id;text;sentiment
2020-03-01 23:59:27;1234267036471234560;@AFrostKo @pizzahut The repeated bathroom visits, though.;0
2020-03-01 23:58:43;1234266851061968897;Nene how are you nearly 3 hours late for your own shady event? #RHOA https://t.co/kyO2EYr5Iw;1
2020-03-01 23:55:48;1234266116819767301;@Justin_StLouis @pizzahut The cheese sticks, though 😌;0
2020-03-01 23:51:49;1234265116440317954;@ripewithdecay @OGPizzaKing @pizzahut Too long 🙏🏻 world needs more of you;1
2020-03-01 23:49:56;1234264641133518848;Hey @pizzahut I don't see a single mushroom or black olive https://t.co/Q2UFaIOmud;-1
2020-03-01 23:45:02;1234263407756529666;@pizzahut Wing s;0
2020-03-01 23:44:25;1234263251359277057;@pizzahut W I n G s;0
2020-03-01 23:44:15;1234263209189740545;@pizzahut W I n g s;0
2020-03-01 23:44:10;1234263189753344000;@pizzahut Wings;0
2020-03-01 23:43:45;1234263084014895105;@pizzahut ughhh explain please. It just arrived like this...🤔🤔 https://t.co/SbBcGuxn0N;0
2020-03-01 23:40:46;1234262334983376896;RT @woodward_dibble: Audio quality is overrated, @todddakin has a greasy little secret he doesn’t want @pizzahut to know and revenge is a d…;-1
2020-03-01 23:39:21;1234261977083543559;@ripewithdecay @OGPizzaKing @pizzahut That’s awesome;1
2020-03-01 23:38:48;1234261837740433409;You will never catch me complaining about fast food establishments but every time we go to @pizzahut in center it’s… https://t.co/i6TkOa328g;1
2020-03-01 23:38:46;1234261831012753413;@ripewithdecay @OGPizzaKing @pizzahut Awesome bless ya;1
2020-03-01 23:37:50;1234261596278575107;@ripewithdecay @OGPizzaKing @pizzahut very humble person!;-1
2020-03-01 23:37:39;1234261549679689728;"RT @ripewithdecay: @OGPizzaKing Wow! But how about you go ahead &amp; give it to someone else. Myself+ others were just blessed w/some pizza vi…";1
2020-03-01 23:37:33;1234261526216945668;@pizzahut how about an update for your app on the iOS platform? i cannot use my points!?! https://t.co/5dLBdlR4Wa;0
2020-03-01 23:37:25;1234261490590453762;@ripewithdecay @OGPizzaKing @pizzahut So awesome helping others;1
