time	id	text	sentiment
2020-03-04 23:58:46	1235354028206325761	Why do I keep getting Domino’s and Wendy’s ads when I’m trying to eat clean what the fuuuuck	1
2020-03-04 23:57:35	1235353728456089605	"RT @JO1fully: Keigo's DOMINO lineup:
-Ren
-Shion
-Takumi
-Mame
-Keigo
-Shosei
-Shoya

JUNKI THREW A TANTRUM BC KEIGO DIDN'T PICK HIM TOO"	0
2020-03-04 23:56:04	1235353346971586563	"RT @MuseWendi: just fyi, if biden wins this primary, we get four years of trump two ways:

1. trump beats biden (likely)
2. if biden someho…"	1
2020-03-04 23:55:29	1235353198925234176	@KamVTV The first domino is allowing the illegals to be here! if it’s ok to break the immigration law, then why are… https://t.co/AG0Ubf000E	1
2020-03-04 23:51:55	1235352302308990977	they're giving out free domino's pizza tomorrow at uni if you vote for the SU guys, stay tuned to find out if i get one or not	1
2020-03-04 23:47:39	1235351227984207872	RT @keloland: BREAKING: Police have made an arrest in connection with the killing of a Domino’s Pizza delivery driver on February 26 in Sio…	-1
2020-03-04 23:46:57	1235351053496913923	@DownriteFurious @FilmsScot I agree, buddy. Domino's is the best pizza place ever.	1
2020-03-04 23:45:14	1235350620774846464	@FPieces Ok. Fair. And I'm glad you've grown to order the Domino's instead	1
2020-03-04 23:44:52	1235350528055488515	Domino’s is disgusting 🥴	-1
2020-03-04 23:41:08	1235349590271983622	RT @_NuG_: RT @silentfoxbomb These are the tales, the freaky tales! #nowplaying @Yung_Domino and @_NuG_  http://t.co/3xE1s2Zc	0
2020-03-04 23:39:11	1235349098150146050	RT @DiscordAddams: I don’t personally care how “good” or “bad” someone’s drag is. But I absolutely care how good or bad your attitude is. A…	1
2020-03-04 23:37:55	1235348780662378497	RT @keloland: BREAKING: Police have made an arrest in connection with the killing of a Domino’s Pizza delivery driver on February 26 in Sio…	-1
2020-03-04 23:37:25	1235348655365935106	@Marvel and #LucasArts are both under the same umbrella (namely @Disney), why not a story where young Obi-Wan knew… https://t.co/oYmzy4wXk2	-1
2020-03-04 23:37:10	1235348592786845696	RT @keloland: BREAKING: Police have made an arrest in connection with the killing of a Domino’s Pizza delivery driver on February 26 in Sio…	-1
