Time;Post_id;Tweet;Retweet count;Like count
2020-03-20 19:30:00;1241084595434594304;A thing you should know Request contactless delivery by filling out the delivery instructions at checkout Learn m;44;175
2020-03-19 21:15:00;1240748630962769920;Dominos is still OPEN to serve you Whether you prefer delivery or carry out from the store we still offer easy w;70;406
2020-03-16 20:58:00;1239657188982951939;Our favorite March deal is bAAAaack Get 50 off all menupriced pizzas ordered online now though 322;97;355
2020-03-11 17:07:00;1237787116643299329;When I dip you dip we dip Which dip cup is your gotoRT for RanchLIKE for Garlic;84;501
2020-03-10 18:04:00;1237439073590980608;Daydreaming about Dominos;56;285
2020-03-09 16:30:00;1237053031222566913;Thin Crust or bust REPLY with a if youre a Thin Crust fan;52;452
2020-03-07 19:00:00;1236366005422764035;Livin it up this weekend;58;354
2020-03-06 18:51:00;1236001349801611264;Bring home the ham and bacon;34;273
2020-03-05 20:35:38;1235665294007427074;Your friend ordering pizza What do you want on itYou Pppineapple;113;719
2020-03-04 18:00:01;1235263744709496832;Celebrating the fact that were halfway to the weekend with this beaut;39;272
2020-03-03 18:04:00;1234902358355668992;What did the pepperoni say to the cheeseSlice to meat youBa dum tissssssss;52;384
2020-03-03 01:19:00;1234649441614696448;Is your watering yet;62;428
2020-03-02 20:50:14;1234581806437060609;Blushing over here like;1;17
2020-03-01 17:35:00;1234170284476895237;I WANTPIZZA;144;652
2020-03-01 01:00:35;1233920032066936837;Spicy SweetSpicy SweetSpicy SweetSpicy SweetSpicy Sweet;36;250
2020-02-28 20:01:07;1233482281223950338;We go together like pizza and the weekend;50;402
2020-02-27 16:01:45;1233059654885834753;Pineapple Pan pizza perfection Say that five times fast;77;538
2020-02-27 00:01:00;1232817875485970432;Lookin hot hot hot;50;349
2020-02-25 22:00:37;1232425189826342912;Just because you went grocery shopping doesnt mean you cant get some Dominos delivered right;42;419
2020-02-24 20:00:24;1232032548177444864;Have you seen anything more beautiful than this Stuffed Cheesy Bread We think not;75;710
2020-02-22 23:15:03;1231356758548996102;Raise your hand if youre going to order pizza this weekend Dont be shy;51;582
2020-02-19 21:00:21;1230235695802916865;PIZZA PRO TIP Want faster Prepay online and use Dominos Pie Pass to bypass the pickup line when you carry out;19;143
2020-02-17 16:01:41;1229435759880495111;Monday mooooooooooooooooooooood;60;386
2020-02-16 17:01:27;1229088411128147971;if this just made you hungry;114;1120
