Time,Post_id,Tweet,Retweet count,Like count
2020-03-23 16:30:06,1242126486058012678,From our Hut to yours were committed to bringing all your delicious favorites safely to you Order with confidenc,18,95
2020-03-20 19:00:08,1241077079124426752,Were open and delivering the classics you love from our Hut to yours,26,175
2020-03-16 17:00:09,1239597332137684993,Which combo are you getting delivered today,43,321
2020-03-14 17:00:05,1238872539356594178,Im gonna tell my kids this is what Pi Day is about,80,406
2020-03-13 19:47:51,1238552372948938755,The health and wellbeing of our team members and customers is our top priority Please see below for a letter highl,43,154
2020-03-11 21:37:30,1237855190088204288,,0,1
2020-03-11 21:35:36,1237854711920779269,,2,6
2020-03-11 14:30:21,1237747696091439104,ITS BACK Feast your eyes on the Big Dipper Then feast for real,43,213
2020-03-10 17:00:05,1237422987655163904,Beauty comes in all shapes amp sizes,41,229
2020-03-08 14:00:05,1236652915391070210,DONT forget,45,451
2020-03-06 18:02:46,1235989211251126273,momcan we please order stuffed crust,121,793
2020-03-05 19:22:59,1235647013322018818,Please,0,1
2020-03-04 17:00:08,1235248675489804288,The stars have aligned and an iconic pizza item is coming back to our menu Who can guess what it is,25,238
2020-03-02 18:45:21,1234550375807668224,Its getting hot in here with our Nashville Hot Wings Whos tried them,25,122
2020-02-28 14:30:04,1233398971084820482,Well try to squeeze you in,35,192
2020-02-26 17:00:06,1232711949475078146,Hows your future looking,49,286
